,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
Journal of Feminist Scholarship,2158-6179,7-May-2020,Journal not adhering to best practice
Wychowanie w Rodzinie,2082-9019,7-May-2020,Inactive (has not published in the last calendar year)
Revista Portuguesa de Investigação Educacional,"1645-4006",6-May-2020,Journal not adhering to best practice
Mutatis Mutandis: Revista Internacional de Filosofía,0719-4765,6-May-2020,Journal not adhering to best practice
Journal of Radars,2095-283X,6-May-2020,Web site URL no longer works
Revista Petra,2359-5302,6-May-2020,Web site URL no longer works
Direito Izabela Hendrix,2237-955X,6-May-2020,Web site URL no longer works
Actividad Física y Ciencias,2244-7318,6-May-2020,Web site URL no longer works
Journal of Innovation for Inclusive Development,2456-4478,6-May-2020,Web site URL no longer works
EARSeL eProceedings,1729-3782,6-May-2020,Web site URL no longer works
Tutur,2541-5840,6-May-2020,Web site URL no longer works
Revista Iberoamericana de Psicología del Ejercicio y el Deporte,2340-7700,6-May-2020,Web site URL no longer works
Revista Argentina de Residentes de Cirugía,1852-4524,6-May-2020,Web site URL no longer works
Soil Forming Factors and Processes from the Temperate Zone,2285-5696,6-May-2020,Web site URL no longer works
Formação@Docente,2237-0587,6-May-2020,Web site URL no longer works
Konuralp Tip Dergisi ,1309-3878,6-May-2020,Web site URL no longer works
Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,1308-0911,6-May-2020,Web site URL no longer works
Mathematical and Computational Forestry & Natural-Resource Sciences,1946-7664,6-May-2020,Web site URL no longer works
Revista Tecer,1983-7631,6-May-2020,Web site URL no longer works
Revista Gestão em Análise,2359-618X,6-May-2020,Web site URL no longer works
Studies in Christian-Jewish Relations,1930-3777,6-May-2020,Web site URL no longer works
Lingua Cultura,2460-710X,6-May-2020,Web site URL no longer works
Humaniora,2087-1236,6-May-2020,Web site URL no longer works
Enfermería Dermatológica ,2386-4818,6-May-2020,Web site URL no longer works
Journal for Research Cultures,2411-3751,6-May-2020,Web site URL no longer works
International Journal of Languages' Education and Teaching,2198-4999,6-May-2020,Web site URL no longer works
La Torre del Virrey,1885-7353,6-May-2020,Web site URL no longer works
Ekonomik ve Sosyal Araştırmalar Dergisi,1306-3553,6-May-2020,Web site URL no longer works
Jurnal Kesehatan Reproduksi,2354-8762,6-May-2020,Web site URL no longer works
Jurnal Ekologi Kesehatan,2354-8754,6-May-2020,Web site URL no longer works
Journal RESOLIS,2276-4275,6-May-2020,Web site URL no longer works
Saudi Journal of Ophthalmology,1319-4534,5-May-2020,Changed publisher but hasn't supplied new URLs/site
Studia Quaternaria,2300-0384,4-May-2020,Journal not adhering to best practice
"Wahana Teknik Sipil: Jurnal Pengembangan Teknik Sipil",0853-8727,4-May-2020,Journal not adhering to best practice
I/C,1696-2508,29-Apr-2020,Journal not adhering to best practice
Revista Fuentes,1575-7072,29-Apr-2020,Journal not adhering to best practice
Computer Engineering and Applications Journal,2252-4274,29-Apr-2020,Web site URL no longer works
Engineering Journal,1726-4073,28-Apr-2020,Journal not adhering to best practice
Virology: Research and Treatment,1178-122X,28-Apr-2020,Ceased publishing
Biomarkers in Cancer,1179-299X,28-Apr-2020,Ceased publishing
GMS Health Technology Assessment,1861-8863,27-Apr-2020,Ceased publishing
World Journal on Educational Technology,1309-1506,27-Apr-2020,Journal not adhering to Best practice
Cypriot Journal of Educational Sciences,1305-9076,27-Apr-2020,Journal not adhering to Best practice
eGEMs,2327-9214,24-Apr-2020,Ceased publishing
Journal of Innovation in Business and Economics,2580-9431,24-Apr-2020,Journal not adhering to best practice
Jurnal Reviu Akuntansi dan Keuangan,2088-0685,22-Apr-2020,Journal not adhering to Best practice
Journal of Local Government Issues,2620-8091,22-Apr-2020,Journal not adhering to Best practice
Conflict Studies Quarterly,2285-7605,20-Apr-2020,Web site URL no longer works
Journal of Linear and Topological Algebra,2252-0201,20-Apr-2020,Journal not adhering to best practice
Journal of Health & Biological Sciences,2317-3084,19-Apr-2020,Web site URL no longer works
Revista da Faculdade de Direito UFPR,2236-7284,17-Apr-2020,Web site URL no longer works
Excellence in Higher Education,2153-9669,17-Apr-2020,Inactive (not published since 2018)
Journal of Parathyroid Disease,2345-6558,17-Apr-2020,Journal not adhering to best practice
CienciaUAT,2007-7521,17-Apr-2020,Web site URL no longer works
Revista Latinoamericana de Ingeniería de Software,2314-2642,17-Apr-2020,Web site URL no longer works
Journal of Research in Social Sciences,2306-112X,17-Apr-2020,Web site URL no longer works
"Vigilância Sanitária em Debate: Sociedade, Ciência & Tecnologia",2317-269X,17-Apr-2020,Web site URL no longer works
Scholarly Editing: The Annual of the Association for Documentary Editing,2167-1257,17-Apr-2020,Inactive (not published since 2017)
Revista de Filosofía y Teoría Política,0328-6223,17-Apr-2020,Inactive (not published since 2018)
"Jurnal Matematika, Sains dan Teknologi",1411-1934,17-Apr-2020,Journal not adhering to best practice
Jurnal Organisasi dan Manajemen,2085-9686,17-Apr-2020,Journal not adhering to best practice
Crítica. Revista Hispanoamericana de Filosofía,0011-1503,16-Apr-2020,Journal not adhering to best practice
Revista de Ciências Farmacêuticas Básica e Aplicada ,1808-4532,16-Apr-2020,Journal not adhering to best practice
Páginas de Filosofía,0327-5108,16-Apr-2020,Journal not adhering to best practice
Aquacultura Indonesiana,0216-0749,16-Apr-2020,Journal not adhering to best practice
BMC Biophysics,2046-1682,16-Apr-2020,Ceased publishing
Security Informatics,2190-8532,16-Apr-2020,Ceased publishing
Journal of Health Science,"2447-8938",15-Apr-2020,Journal not adhering to best practice
Global Journal of Nursing Research,2309-2963,15-Apr-2020,Inactive (not published since 2017)
Global Journal of Cardiovascular and Cerebrovascular Diseases,2309-3374,15-Apr-2020,Inactive (not published since 2016)
Global Journal of Integrated Chinese Medicine and Western Medicine,2308-6025,15-Apr-2020,Inactive (not published since 2017)
Global Journal of Traditional Medicine,2308-5665,15-Apr-2020,Inactive (not published since 2015)
Analele Universităţii Bucureşti: Ştiinţe Politice,1582-2486,15-Apr-2020,Inactive (not published in 2019)
Épsilon,1692-1259,15-Apr-2020,Web site URL no longer works
Kinetik,2503-2259,15-Apr-2020,Journal not adhering to Best practice
EuroEconomica,2065-3883,15-Apr-2020,Web site URL no longer works
Non-Genetic Inheritance,2084-8846,14-Apr-2020,Ceased publishing
microRNA Diagnostics and Therapeutics,2084-6843,14-Apr-2020,Ceased publishing
Coherent Optical Phenomena,2299-3983,14-Apr-2020,Ceased publishing
Romanian Journal of Fiscal Policy,2069-0983,14-Apr-2020,Web site URL no longer works
Cuba Arqueológica,1852-0723,14-Apr-2020,Web site URL no longer works
A Barriguda: Revista Científica,2236-6695,14-Apr-2020,Ceased publishing
Archnet-IJAR,1938-7806,14-Apr-2020,Web site URL no longer works
Historia 2.0,2027-9035,14-Apr-2020,Web site URL no longer works
Archivos Latinoamericanos de Producción Animal,2075-8359,14-Apr-2020,Web site URL no longer works
Journal of Fitness Research,2201-5655,14-Apr-2020,Web site URL no longer works
"Revista Família, Ciclos de Vida e Saúde no Contexto Social",2318-8413,13-Apr-2020,Web site URL no longer works
Avicenna Journal of Neuro Psycho Physiology,2383-2444,13-Apr-2020,Web site URL no longer works
Temiminós Revista Científica,2317-7764,13-Apr-2020,Web site URL no longer works
Education Sciences and Psychology,1512-1801,13-Apr-2020,Journal not adhering to Best practice
Ciencia y Deporte,2223-1773,11-Apr-2020,Web site URL no longer works
Vegueta: Anuario de la Facultad de Geografía e Historia,1133-598X,11-Apr-2020,Journal not adhering to best practice
Revista Mundo Antigo,2238-8788,10-Apr-2020,Ceased publishing
Revista Eletrônica CoMtempo,2176-6231,10-Apr-2020,Ceased publishing
Efímera Revista,2172-5934,10-Apr-2020,Ceased publishing
Medicina Narrativa,2027-7636 ,10-Apr-2020,Ceased publishing
Desarrollo Local Sostenible,1988-5245 ,10-Apr-2020,Journal not adhering to best practice
"Journal the Winners: Economics, Business, Management, and Information System Journal",1412-1212,10-Apr-2020,Journal not adhering to best practice
Buletin Penelitian Sistem Kesehatan,1410-2935,10-Apr-2020,Journal not adhering to best practice
Journal of Cancer Research and Therapeutics,0973-1482,9-Apr-2020,Journal is no longer Open Access
Plura: Revista de Estudos de Religião,2179-0019,9-Apr-2020,Web site URL no longer works
Historia Actual Online,1696-2060,9-Apr-2020,Web site URL no longer works
Muhandisī-i Bihdāsht-i Muḥīṭ,2588-4239,9-Apr-2020,Web site URL no longer works
Securitologia,2449-7436,9-Apr-2020,Web site URL no longer works
Revista Episteme Transversalis,2236-2649,9-Apr-2020,Ceased publishing
Revista de Estudios Andaluces,2340-2776,9-Apr-2020,Web site URL no longer works
Perspectives of Business Law Journal,2286-0649,9-Apr-2020,Ceased publishing
Revista Expressão Católica,2357-8483,7-Apr-2020,Web site URL no longer works
Revista Cubana de Farmacia,1561-2988,7-Apr-2020,Ceased publishing
EPJ Nonlinear Biomedical Physics,2195-0008,7-Apr-2020,Ceased publishing
Trabajos de Geologia,1988-5172,7-Apr-2020,Ceased publishing
"Annals of Academy of Romanian Scientists Series on Philosophy, Psychology, Theology and Journalism",2067-5690,7-Apr-2020,Ceased publishing
Universitas (León),2311-6072,7-Apr-2020,Ceased publishing
Sessões do Imaginário,1980-3710,7-Apr-2020,Ceased publishing
Aviation in Focus,2179-703X,7-Apr-2020,Ceased publishing
Échanges Linguistiques en Sorbonne,2425-1526,7-Apr-2020,Ceased publishing
Andererseits,2162-9242,7-Apr-2020,Ceased publishing
Asian Pacific Journal of Tropical Disease,2222-1808,7-Apr-2020,Changed publisher but hasn't supplied new URLs/site
Ekonomìčna Kìbernetika,2312-5837,6-Apr-2020,Ceased publishing
Sample Preparation,2299-677X,6-Apr-2020,Ceased publishing
Riparian Ecology and Conservation,2299-1042,6-Apr-2020,Ceased publishing
Peptidomics,2084-7203,6-Apr-2020,Ceased publishing
"Optofluidics, Microfluidics and Nanofluidics",2300-7435,6-Apr-2020,Ceased publishing
Littera Aperta,2341-0663,6-Apr-2020,Ceased publishing
HYLA: Herpetological Bulletin,1848-2007,6-Apr-2020,Ceased publishing
Capic Review,0718-4662,6-Apr-2020,Ceased publishing
Giramundo,2358-4467,6-Apr-2020,Ceased publishing
"Journal of Endoscopic and Minimally Invasive Surgery in Newborn, Children and Adolescent",2283-7116,6-Apr-2020,Ceased publishing
Revista Iara,1983-7836,6-Apr-2020,Ceased publishing
Universitas Ciências da Saúde,1981-9730,6-Apr-2020,Ceased publishing
Revista Insiet,2447-892X,6-Apr-2020,Ceased publishing
African East-Asian Affairs the China Monitor,2308-8699,6-Apr-2020,Ceased publishing
Revista Internacional de Investigación y Docencia,2445-1711,6-Apr-2020,Ceased publishing
Translation Studies: Retrospective and Prospective Views,2501-0778,6-Apr-2020,Ceased publishing
Kerala Heart Journal,2454-6755,6-Apr-2020,Ceased publishing
Levantine Review,2164-6678,6-Apr-2020,Ceased publishing
Spirakel,2354-8819,6-Apr-2020,Ceased publishing
Psicologia: Ensino & Formação,2179-5800,6-Apr-2020,Ceased publishing
Revista Venezolana de Ciencia y Tecnología de Alimentos,2218-4384,6-Apr-2020,Ceased publishing
Boletín de la Asociación para el Fomento de los Estudios Históricos en Centroamérica,1954-3891,6-Apr-2020,Ceased publishing
Revista Internacional de Investigación e Innovación en Didáctica de las Humanidades y las Ciencias,2386-7795,6-Apr-2020,Ceased publishing
Economía Española y Protección Social,2386-379X,6-Apr-2020,Ceased publishing
Geoacta,1852-7744,6-Apr-2020,Ceased publishing
International Journal of Research and Education,2398-3760,6-Apr-2020,Ceased publishing
Ankara Universitesi Egitim Bilimleri Fakultesi Ozel Egitim Dergisi,2149-8261,6-Apr-2020,Ceased publishing
Andrews University Seminary Student Journal,2376-063X,6-Apr-2020,Ceased publishing
Mechanics and Control,2300-7079,6-Apr-2020,Ceased publishing
International Journal of Cyber Society and Education,1995-6649,6-Apr-2020,Ceased publishing
Revista Policía y Seguridad Pública,2225-5648,6-Apr-2020,Ceased publishing
Tidsskriftet Arkiv,1891-8107,6-Apr-2020,Ceased publishing
AIMS Cell and Tissue Engineering,2574-0105,3-Apr-2020,Ceased publishing
Teosofi,2088-7957,3-Apr-2020,Journal not adhering to best practice
Musikterapi i psykiatrien online,2245-3342,2-Apr-2020,Ceased publishing
Вісник Черкаського університету: Серія: Економічні науки,2076-5843,29-Mar-2020,Journal not adhering to Best practice
Al-Hayat: Journal of Islamic Education,2599-3046,24-Mar-2020,Journal not adhering to Best practice
The Albatross,1927-4599,25-Mar-2020,Journal not adhering to best practice
International Journal of Insect Science,1179-5433,25-Mar-2020,Ceased publishing
Biochemistry Insights,1178-6264,25-Mar-2020,Ceased publishing
Clinical Medicine Insights: Women's Health,1179-562X,25-Mar-2020,Ceased publishing
"Clinical Medicine Insights: Ear, Nose and Throat",1179-5506,25-Mar-2020,Ceased publishing
Biomedical Informatics Insights,1178-2226,25-Mar-2020,Ceased publishing
Integrative Medicine Insights,1177-3936,25-Mar-2020,Ceased publishing
Perinatologiâ i Pediatriâ,1992-5891,24-Mar-2020,Ceased publishing
Biotechnology Research & Innovation,2452-0721,20-Mar-2020,Changed publisher but hasn't supplied new URLs/site
Biochimie Open,2214-0085,20-Mar-2020,Ceased publishing
Journal of Computational Design and Engineering,2288-4300,20-Mar-2020,Changed publisher but hasn't supplied new URLs/site
Cureus,2168-8184,17-Mar-2020,Journal not adhering to Best practice
Royal Studies Journal,2057-6730,16-Mar-2020,Journal not adhering to best practice
Jurnal Komunikasi,1978-4597,16-Mar-2020,Journal not adhering to best practice
"Bulletin of Faculty of Pharmacy, Cairo University",1110-0931,16-Mar-2020,Web site URL no longer works
International Journal of e-Navigation and Maritime Economy,2405-5352,16-Mar-2020,Web site URL no longer works
TMR Theory and Hypothesis,2538-130X,13-Mar-2020,Journal not adhering to Best practice
TMR Cancer,2538-015X,13-Mar-2020,Journal not adhering to Best practice
TMR Integrative Medicine,2521-3415,13-Mar-2020,Journal not adhering to Best practice
